,Organizations,Country,Value
7685, energy technologies limited,AUS,421
7717, energy transition mineral,AUS,108
7761, enersys,USA,160
7781, enertopia corporatio,USA,390
7786, enova mining ltd,AUS,218
7797, enovix corp,AUS,17
7808, enphase energy inc,ARG,77
7829, entergy arkansas llc deb 2066,USA,144
7839, entertainment arts research inc,USA,56
7853, enveric biosciences inc,USA,22
7859, environmental service professionals inc,AUS,85
7875, environmental solutions worldwide inc,USA,30
7882, equinox gold corp,CAN,10
7894, erin ventures inc,CAN,32
7905, eskay mining corp,CAN,37
7916, estrella resources ltd,AUS,107
7927, ethos gold corp,ARG,61
7961, eurasia mining,RUS,63
7974, euro manganese inc,AUS,36
8009, euronext n.v,USA,231
8012, europa metals ltd,AUS,16
8027, european electric metals inc,ALB,84
8047, european lithium limited,AUS,2613
8109, european metals holdings limited,AUS,2687
8169, ev resources ltd.,AUS,1542
8209, eve energy,CHN,10
8213, evergen infrastructure corp,CAN,33
8223, evergold corp,CAN,30
8241, evion group nl,AUS,69
8250, evolution mining ltd,AUS,15
8263, evonik industries ag,USA,42
8266, excellon resources inc.,CAN,76
8285, exelon corporation,USA,373
8295, exide industries ltd.,IND,98
8305, expedia group inc.,NAM,12
8342, express inc,USA,72
8384, exxon mobil corp,USA,864
8390, fabled copper corp,CAN,83
8466, facebook inc. cl a,USA,3606
8475, falcon gold corp,CAN,319
8490, fancamp exploration ltd.,CAN,21
8495, fansunite entertainment inc,CAN,78
8529, farasis energy gan zhou co ltd,USA,42
8541, fe battery metals corp.,CAN,22
8581, fedex corporation,USA,106
8585, fenix resources ltd,AUS,27
8594, ferrari nv,CAN,62
8610, ferrovial,USA,39
8616, fiem industries limited,IND,28
8617, fifth third bancorp,AUS,36
8620, fiji kava ltd,AUS,44
8635, financial institutions inc. 8.48% srb1 pfd b,USA,53
8646, fire river gold corp,USA,117
8653, firefinch limited,AUS,827
8684, firering strategic minerals plc,GBR,30
8690, first au limited,AUS,44
8702, first energy metals ltd,CAN,112
8708, first graphene ltd,AUS,185
8724, first lithium minerals,CHL,219
8738, first mining gold corp,CAN,308
8747, first quantum minerals ltd,AUS,90
8775, fiskars oyj abp,CHN,13
8791, fisker inc,USA,47
8796, fission uranium corp,CAN,119
8812, fjordland exploration inc,CAN,48
8814, flexible solutions international inc,CAN,19
8823, flextronics intl,USA,24
8824, flight centre travel group limited,AUS,16
8831, flsmidth & co as,DEU,23
8843, fluence energy inc,USA,91
8857, fluor corporation,USA,108
8867, flux power holdings inc,USA,58
8876, fmc corporation,USA,44
8879, fobi ai inc,CAN,21
8886, foraco international sa,CAN,21
8946, ford motor company,USA,1653
8954, forsys metals corp,AUS,17
8959, fortescue metals group limited,AUS,42
8968, fortescue metals group ltd adr,AUS,440
8994, fortis healthcare ltd.,IND,16
9011, fortress minerals limited,USA,110
9018, fortum oyj,CHN,67
9062, fortune minerals limited,USA,93
9075, fosun international ltd,MLI,37
9084, freegold ventures limited,CAN,60
9114, freeport mcmoran,USA,94
