,Organizations,Country,Value
32759,hatcher group ltd,CAN,160
32765,hazer group limited,AUS,24
32769,hecla mining company,CAN,144
32784,heliogen inc,USA,17
32786,hengkang medical group co ltd,CHN,19
32789,henkel ag & co. kgaa,CAN,17
32796,hertz global holdings inc,AUS,15
32806,hess corporation,USA,176
32815,highgold mining inc,CAN,108
32842,hindustan copper ltd.,IND,383
32847,hindustan petroleum corporation limited,IND,10
32861,hitachi zosen corporation,JPN,93
32895,honda motor co ltd adr,USA,203
32898,honeywell international inc,USA,73
32911,horizon minerals corp,USA,18
32912,hpil holding,CAN,23
32916,huatai securities co. ltd,CHN,38
32922,huntsman exploration inc,AUS,13
32932,hurricane energy plc,MLI,43
32938,hydro one limited,CAN,96
32946,hyrecar inc,USA,32
32947,hyster-yale materials handling inc,USA,14
32949,hyundai heavy industries holdings co ltd,KOR,13
32971,hyundai motor co drc,USA,87
32996,ibm cdr,USA,334
33012,iconic minerals ltd,USA,1075
33016,icraft co. ltd,USA,17
33019,idaho champion gold mines canada inc,USA,99
33021,illinois tool works inc,CHN,11
33034,immotion group plc,GBR,17
33040,immunoprecise antibodies ltd,ARG,16
33041,impact minerals ltd,AUS,40
33046,imperial oil ltd,CAN,97
33052,imugene limited,AUS,10
33056,independence group,AUS,163
33070,indian energy exchange limited,AUS,20
33075,indian oil corporation limited,IND,27
33080,indian railway catering and tourism corporation ltd,IND,86
33084,indigo exploration inc.,CAN,10
33087,industrial alliance insurance and financial services inc pref series b,CAN,11
33095,industrial and commercial bank of china,USA,26
33096,industrial bank of korea,CHN,27
33103,industrial minerals ltd,CHN,267
33117,industry source consulting inc,CHN,12
33121,infinite ore corp,CAN,50
33134,infinity lithium corporation limited,ESP,136
33145,infinity stone ventures corp.,CAN,91
33149,infund holding co ltd,BOL,12
33158,innovation pharmaceuticals inc,RUS,12
33169,intellicheck mobilisa inc,AUS,47
33198,international battery metals ltd,USA,231
33199,international business machines,ARG,21
33205,international consolidated airlines group s.a.,CAN,201
33224,international lithium corp,CAN,577
33243,international metals mining corp,BRA,12
33253,international paper company pfd $4,FIN,30
33265,international tower hill mines ltd,CAN,14
33275,intrepid potash inc,USA,80
33280,investec ltd adr,GBR,15
33285,investment ab latour (publ),CHN,353
33298,invictus energy limited,ZWE,34
33309,invinity energy systems plc,USA,13
33313,ion energy ltd,MNG,54
33316,ion exchange (india) limited,USA,16
33326,ioneer ltd,USA,1341
33331,isuzu motors limited,ZAF,29
33335,ivanhoe mines ltd.,ARG,32
33367,jadestone energy inc,GBR,16
33373,jaguar mining inc,BRA,15
33376,japan airlines ltd adr,ARE,22
33389,jersey oil and gas plc,MLI,111
33401,jetblue airways corp,USA,206
33404,jiangmen kanhoo industry co ltd,CHL,69
33413,jiangxi ganfeng lithium co ltd,CAN,563
33447,jiangxi special electric motor co ltd,CHN,20
33448,jilin university zhengyuan info tech,CHN,18
33456,jinchuan group international resources co. ltd,CHN,122
33482,jindalee resources limited,USA,204
33529,johnson controls international plc,USA,53
33534,johnson matthey plc,CAN,327
33561,joshua gold resources inc,CAN,16
33563,jourdan resources inc,AUS,132
33570,jp morgan global growth & income plc,AUS,101
33598,jpmorgan chase & co,CHN,60
33605,jupiter gold corporation,BRA,514
33613,jvc kenwood corp adr,ARG,126
33632,kairos minerals limited,AUS,146
33644,kalamazoo resources limited,AUS,126
33655,kaneka corp,TWN,41
33659,karora resources inc,AUS,116
33664,katoro gold plc,TZA,35
33668,kawasaki heavy industries ltd,JPN,98
33677,kazia therapeutics ltd adr,AUS,13
33683,kenorland minerals ltd,CAN,41
33688,key petroleum limited,AUS,16
33700,kiaro holdings corp,USA,18
33703,kibo energy plc eo -001,COD,10
33712,kinetic group inc,USA,20
33713,kingsland minerals ltd,AUS,16
33716,kingston resources ltd.,AUS,103
33733,kinross gold corp,USA,27
33756,kodal minerals plc,MLI,1124
33772,kore potash plc,CHN,46
33791,korea electric power corp adr,KOR,135
33794,kronos worldwide inc,ARG,36
33800,kunlun energy co ltd pk,CHN,10
33804,kyocera corporation,JPN,39
33814,kyushu electric power company incorporated,USA,18
33816,laboratory corporation of america holdings,USA,32
33820,lake resources nl,AUS,83
33831,lamar advertising company,USA,106
33834,landore resources limited,GBR,172
33839,lanxess ag,USA,128
33843,lara exploration ltd,IRL,24
33847,largo resources ltd,CAN,14
33850,latin resources limited,ARG,193
33863,lazard ltd,AUS,27
33887,lefroy exploration ltd,AUS,275
33891,lehman brothers holdings cap ts,CHN,10
33895,leo lithium limited,MLI,29
33896,lepidico ltd,AUS,51
33918,lg chemicals,USA,45
33920,lg energy solution ltd,AUS,695
33965,liberty gold corp,USA,401
33966,lightning minerals ltd,AUS,25
33985,linde plc,GBR,10
33995,lion electric corp,CAN,13
34000,lion energy limited,USA,11
34002,liontown resources limited,AUS,291
34102,lithium americas corp,USA,10436
34108,lithium australia nl,AUS,99
34114,lithium chile inc,CHL,1851
34123,lithium energi exploration inc,ARG,146
34129,lithium energy ltd,ARG,29
34134,lithium ionic corp,BRA,581
34140,lithium one metals inc.,CAN,65
34160,lithium power international limited,CHL,2747
34188,lithium south development corporation,AUS,252
34215,lithiumbank resources corp.,CAN,100
34266,livent corp,USA,1914
34270,loblaw companies limited,CAN,18
34277,lockheed martin corporation,USA,22
34280,lomiko metals inc,CAN,89
34298,london stock exchange group plc,CZE,2119
34341,lucara diamond corp,MEX,190
34343,lucid group inc,BRA,30
34353,lucky minerals inc,CAN,10
34361,lundin mining corporation,CHL,103
34376,lynas rare earths ltd,AUS,94
34389,macarthur minerals limited,AUS,519
34413,macmahon holdings limited,AUS,32
34423,macquarie bank\xa0ltd pref,USA,50
34430,macquarie group limited,MLI,25
34436,magellan gold corp,AUS,18
34447,magna international inc,CHL,34
34456,magnis energy technologies limited,AUS,77
34465,magnis resources limited,AUS,87
34481,mandalay resources corp,CAN,95
34494,manganese x energy corp,CAN,27
34505,manhattan bridge capital inc,CAN,25
34510,manning ventures inc,CAN,25
34527,market herald ltd,CAN,226
34538,marketing worldwide,USA,40
34540,marquee resources ltd,AUS,59
34554,martin marietta materials inc,AUS,82
34557,marubeni corporation,AUS,38
34571,marula mining ls-0001,ZAF,25
34577,maruti suzuki india ltd.,IND,153
34582,marvell technology group ltd,AUS,10
34589,mason graphite inc.,CAN,23
34595,materials petroleum jsc,CHN,48
34604,materion corporation,USA,64
34611,maximus resources limited,AUS,13
34616,maxtech ventures inc,ZMB,68
34627,mcdonald’s corporation,CAN,15
34634,mcewen mining inc,USA,13
34637,medaro mining corp,CAN,113
34650,media central corporation inc,USA,96
34664,mercator minerals ltd,AUS,82
34672,mercedes benz group ag,CHN,47
34686,mercedes-benz group ag,DEU,54
34702,merrill lynch depositor inc ic,CAN,14
34713,metal tiger plc,IRL,11
34716,metalicity limited,AUS,31
34720,metallica metals corp,CAN,93
34722,metallurgical corporation of china ltd adr,AFG,125
34733,metalore resources limited,CAN,20
34737,metalquest mining inc.,CAN,52
34742,metals creek resources corp,ARG,320
34786,metalsgrove mining ltd,AUS,60
34788,metalstech limited,CAN,36
34790,metso outotec oyj,AUS,119
34795,mgx minerals inc,CHL,50
34803,mianyang fulin precision machining co ltd,CHN,10
34807,michelin nom. eo -50,FRA,30
34826,microsoft corporation,USA,585
34832,microvast holdings inc,USA,27
34833,midas minerals ltd,AUS,27
34837,midland exploration inc,CAN,85
34843,millrock resources inc,USA,15
34849,minda corporation limited,IND,28
34851,mineral resources limited,AUS,881
34879,minerals technologies inc,CAN,796
34916,minfocus exploration corp,CAN,13
34919,ming yang smart energy group ltd. gdr,AUS,16
34930,mining global inc,CAN,235
34947,minmetals development co ltd,CHN,58
34958,mission valley bancorp,USA,14
34963,mitsubishi chemical holdings corporation,CHN,150
34988,mitsubishi heavy industries ltd.,JPN,73
34991,mitsubishi ufj financial group inc,AUS,78
35011,mitsui e&s holdings co. ltd,AUS,141
35038,mkango resources ltd,CHN,26
35061,mn holdings berhad,ZWE,94
35065,moho resources ltd,AUS,15
35067,mongolia growth group ltd.,CAN,11
35070,montezuma mining,AUS,20
35075,monumental minerals corp,CHL,100
35085,moodys corporation,CHN,39
35100,morella corporation ltd.,USA,122
35104,morgan advanced materials plc,CHL,10
35115,morgan stanley,AUS,1945
35173,morris state bancshares inc,USA,103
35175,mosaic immunoengineering inc,AUS,18
35184,motor oil (hellas) corinth refineries s.a,IND,14
35187,motorcycle holdings ltd,AUS,13
35209,motorola solutions inc,USA,20
35224,motorsport gaming us llc,USA,4416
35225,munters group ab,SWE,16
35235,murphy oil corporation,USA,44
35236,musk metals corp,CAN,17
35242,nano one materials corp,CAN,116
35307,nasdaq inc,USA,1988
35316,natcore technology inc,USA,13
35327,national aluminium co.ltd.,IND,312
35334,national aluminium company limited,IND,62
35336,national australia bank ltd adr,AUS,105
35378,national bank of canada,USA,151
35381,national bankshares inc,USA,29
35386,national development bank plc,CHN,154
35407,national energy services reunited corp,AUS,22
35417,national grid plc adr,GBR,136
35499,national instruments corporation,USA,24960
35513,nautilus minerals inc,USA,29
35514,ncondezi energy ltd,CHN,23
35530,neometals ltd adr,AUS,441
35579,netflix inc,USA,38
35581,neurizer ltd,AUS,19
35584,nevada lithium resources inc,USA,263
35598,nevada sunrise gold corporation,USA,1961
35601,nevada sunrise metals,USA,57
35610,nevada zinc corporation,USA,40
35658,new york times company,USA,788
35663,newfoundland discovery corp,CAN,95
35668,newmont goldcorp corp,CAN,80
35673,newmont mining - dusseldorf stock exchang,CAN,37
35749,news network corporation public company limited,USA,964
35759,nexgen energy ltd.,USA,79
35764,nfon ag,JPN,10
35765,nickel industries ltd.,AUS,35
35784,nickel rock resources inc,USA,972
35787,nikola\xa0corp,AUS,15
35789,ningbo shanshan gdr/a,CHN,106
35797,niobay metals inc,CHN,58
35861,nissan chemical industries ltd adr,USA,441
35880,nissan motor co. ltd.,USA,101
35887,nokian renkaat oyj,CHL,39
35917,noram lithium corp,USA,282
35920,noranda aluminum holding corp,CAN,74
35935,norfolk southern corporation,USA,66
35939,norsk hydro asa adr,CHN,19
35953,nortec minerals corp.,FIN,153
35964,northern dynasty minerals ltd,CAN,12
35971,northern graphite corporation,MDG,20
35973,northern minerals & exploration ltd,AUS,175
35993,northern minerals limited,AUS,32
36006,northrop grumman corporation,USA,27
36008,norwest minerals limited,AUS,43
36015,nouveau monde graphite inc,CAN,39
36023,nova lithium corp.,USA,27
36026,nova minerals limited,CAN,91
36035,novagold resources inc,ARG,76
36055,nuinsco resources limited,CAN,40
36063,nutrien ltd,CHL,202
36069,nvidia corporation,ARG,34
36076,oceana lithium ltd,BRA,103
36086,oil and gas development co ltd,USA,18
36088,okapi resources limited,AUS,18
36091,olink holding ab  adr,CAN,13
36094,omnia metals group ltd,AUS,69
36101,ondine biomedical inc,MEX,17
36107,onesoft solutions inc,CAN,18
36111,ophir gold corp,USA,31
36113,optimi health corp,CAN,71
36138,orca energy group inc,USA,14
36140,organto foods inc,CAN,15
36148,orica limited,AUS,56
36157,origen resources inc,ARG,141
36168,original bark co,IRL,170
36182,oriole resources plc,CHN,97
36229,orocobre ltd.,ARG,405
36264,osino resources corp,NAM,186
36268,osisko development corp.,CAN,87
36272,ourgame int.hol.dl-00005,USA,48
36273,oz lithium corp,AUS,108
36278,oz minerals limited,AUS,107
36303,pacific imperial mines inc,USA,106
36307,paladin energy ltd,ZWE,17
36316,pan american energy corp,USA,155
36324,pan american silver corp,MEX,101
36327,pan asia metals ltd,THA,16
36384,panasonic corp,USA,1088
36388,panoramic resources limited,AUS,40
36392,pantoro limited,AUS,13
36398,parkway minerals nl,AUS,30
36401,parsons corp,ZAF,16
36403,partners bank of california,AUS,10
36409,pasinex resources limited,USA,34
36412,patriot battery metals inc,CAN,163
36422,patriot lithium ltd.,CAN,36
36430,peel hunt ltd,USA,12
36431,peel mining,AUS,16
36439,pembridge resources plc,GBR,15
36441,pendal group ltd,AUS,222
36447,peninsula energy ltd,AUS,14
36451,pepinnini minerals limited,ARG,32
36462,peridot acquisition corp ii,USA,28
36468,petrochina co ltd class h,CHN,40
36476,petroleum geo,USA,170
36478,petrolympic ltd,CAN,90
36482,petrosun inc,USA,15
36497,peugeot invest société anonyme,USA,60
36498,pfizer inc,CAN,16
36509,piedmont community bank group inc,AUS,30
36542,piedmont lithium ltd adr,USA,2921
36546,pilbara minerals limited,AUS,6302
36608,pilot gold inc,USA,50
36611,pimco access income fund,USA,62
36615,pinnacle west capital corp,USA,15
36618,pinterest inc,CHN,14
36633,pioneer diversified high it,USA,24
36653,plantx life inc.,USA,122
36655,platinum group metals ltd,CAN,140
36665,platypus minerals ltd,CAN,168
36698,polymet mining corp,USA,30
36702,polymetal international plc adr,KAZ,37
36707,pontiac bancorp inc,CAN,55
36744,porsche automobil holding se,USA,83
36747,portofino resources inc,AUS,424
36772,posco holdings inc,AUS,1371
36814,poseidon nickel limited,AUS,88
36821,postmedia network canada corp,CAN,393
36841,potash america inc,CHL,287
36862,power metals corp,CAN,506
36879,power minerals ltd,ARG,198
36888,power nickel inc,CAN,238
36895,power solutions international inc,IND,41
36903,prairiesky royalty ltd,BRA,14
36909,predictive discovery limited,AUS,15
36919,premium exploration inc,ARG,10
36928,profrac holding corp.,CAN,21
36930,progressive planet solutions inc,CAN,17
36948,prospect resources ltd,ZWE,670
36955,prospex energy plc,GBR,12
36959,provention bio inc,USA,13
36964,prudential financial inc preferred,MEX,179
36967,public joint stock company rosneft oil company,RUS,64
37015,pure energy minerals limited,USA,5275
37019,pylon technologies co. ltd. a,JPN,12
37020,pyrogenesis canada inc.,CAN,36
37026,qantas airways ltd adr,CZE,213
37035,qinghai salt lake industry co.ltd,CHN,15
37044,qualcomm incorporated,USA,51
37045,quantum battery metals corp,CAN,36
37063,quantumscape corp,USA,184
37066,quebec precious metals corporation,CAN,61
37070,qx resources ltd,AUS,15
37075,radius gold inc,USA,169
37076,ragusa minerals ltd,AUS,10
37085,ramelius resources ltd,AUS,28
37093,raymond james financial inc.,USA,19
37095,raytheon technologies corp,USA,11
37099,recharge resources ltd.,ARG,243
37109,red dirt metals ltd,AUS,35
37114,red light holland corp,CAN,16
37117,red mountain mining ltd,KOR,12
37120,red rock resources,AUS,72
37152,reedy lagoon,USA,74
37157,regent ventures ltd,USA,14
37164,reliance industries ltd adr,IND,67
37171,renault sa,AUS,202
37254,renewable energy trade board corp,USA,901
37259,renewables infrastructure grp,CAN,44
37262,renforth resources inc,CAN,21
37269,republic services inc,USA,11
37270,research frontiers incorporated,ARG,20
37289,research solutions inc,USA,16
37293,resolute mining limited,MLI,48
37297,resource capital gold corp,CHL,37
37301,resource mining corporation,FIN,38
37310,resources connection inc,CAN,457
37335,richard pieris exports plc,LKA,54
37336,richmond minerals inc,AUT,39
37340,ridgeline minerals corp,CAN,22
37344,rincon resources ltd,AUS,36
37428,rio tinto adr,SRB,5844
37447,rio tinto group,AUS,108
37468,riversgold ltd,AUS,165
37474,riverstone holdings limited,AUS,18
37476,rivian automotive inc,ARG,10
37489,rock tech lithium inc,DEU,712
37501,rockcliff metals corporation,CAN,40
37519,rosenbauer international ag,USA,17
37533,rover metals corp,USA,63
37544,royal standard minerals inc,USA,15
37560,royalty pharma\xa0plc,SWE,60
37565,rubicon organics inc,USA,10
37579,rusoro mining ltd,MEX,45
37585,ryanair holdings plc adr,IRL,11
37596,sabic agrinutrients co,CHN,18
37613,sage group plc adr,DEU,30
37617,saint jean carbon inc,CAN,119
37679,samsung electronics co. ltd,USA,1039
37691,san lorenzo gold corp,CHL,10
37698,sanrio company ltd,CHN,17
37729,sanyo chemical industries ltd,USA,181
37740,saudi aramco,USA,44
37759,savannah resources plc,PRT,242
37768,sayona mining limited,AUS,880
37797,scandium international mining corp,AUS,18
37820,schlumberger nv,USA,180
37841,schneider electric se,USA,69
37847,scotch creek ventures inc,USA,325
37848,scotiabank peru s.a.a.,ARG,22
37859,sears canada inc,USA,13
37860,securities trust of scotland plc,ARG,19
37870,sembcorp industries ltd,GBR,21
37872,semiconductor manufacturing international corporation,AUT,18
37878,sempra energy,USA,23
37879,seneca foods corp a,CAN,11
37880,sensore ltd,AUS,29
37887,servicenow inc,USA,356
37893,shanshan brand management co ltd,CHN,45
37895,shattuck labs\xa0inc,CHN,15
37922,shell plc,USA,321
37927,shenzhen chengxin lithium group co ltd,COD,15
37932,shenzhen senior technology material co ltd,CHN,33
37943,sherritt international corporation,USA,39
37945,shree minerals ltd,AUS,60
37954,sibanye stillwater limited,USA,114
37958,sichuan chengfei integration technology corp ltd,CHN,14
37961,sichuan energy investment development co ltd,AUS,13
37970,sichuan tianqi lithium industries inc,CHL,74
37984,sichuan yahua industrial group co ltd,AUS,202
37999,siemens energy ag,ARE,18
38022,siemens gamesa renewable energy s.a,USA,28
38030,sify technologies limited,CHN,33
38039,sigma labs inc,BRA,13
38046,sigma lithium resources corp,BRA,842
38073,silver bullet mines corp.,CAN,40
38083,silvercorp metals inc,USA,17
38084,silverton metals corp,CAN,40
38087,simplo technology co ltd,CHN,16
38089,singapore exchange limited,AUS,23
38099,sinopec engineering (group) co. ltd.,CHN,245
38106,sipa resources ltd,AUS,37
38117,sk ie technology co ltd,POL,150
38133,sk innovation,USA,311
38136,skywest inc,USA,46
38137,skyworks solutions inc,AUS,37
38151,snow lake resources ltd,CAN,111
38156,sociedad quimica y minera de chile sa adr b,AUS,178
38180,softbank corp,CAN,151
38192,softbank group corp.,CAN,231
38205,sojitz,TZA,137
38207,sokoman minerals corp,CAN,220
38214,solar alliance energy inc,BOL,20
38222,solar energy initiat,DEU,32
38237,solid power inc,USA,18
38238,solis minerals ltd,BRA,15
38243,sona nanotech inc,CAN,13
38275,sony corp,USA,144
38283,southern california gas company pfd 6%,USA,85
38284,southern concepts restaurant group inc,USA,16
38295,southern copper corporation,PER,99
38300,southwest airlines company,USA,11
38302,sp group as nam. dk 2,SGP,23
38305,spark energy minerals inc,CAN,63
38307,spark power group inc,CAN,27
38311,spearmint resources inc,CAN,387
38317,spectral md holdings ltd,GBR,30
38323,spey resources corp,ARG,157
38330,spirit airlines inc,USA,37
38335,sprott physical uranium trust,AUS,13
38357,square chain corp,USA,16
38358,ssangyong cement industrial co. ltd,IND,13
38360,st george mining ltd,AUS,22
38394,standard lithium ltd,USA,4592
38404,stans energy corp,RUS,120
38409,star alliance international corp,USA,15
38415,starbucks corporation,BOL,44
38437,steelcase inc,ZWE,24
38441,stelco holdings inc,USA,44
38443,stellar resources limited,FRA,29
38448,sterling metals corp,CHN,34
38469,stockland,RUS,15
38474,stornoway diamond corporation,CAN,59
38493,strategic metals ltd,ZWE,87
38500,strategic minerals plc,MEX,16
38504,stria lithium inc,CAN,315
38514,sumitomo electric industries ltd,USA,15
38516,sumitomo metal mining co ltd adr,CAN,23
38522,sumitomo mitsui trust holdings inc,BOL,374
38563,suncor energy inc,SWE,225
38578,sungeel hitech co. ltd.,USA,37
38581,sunrise new energy co. ltd,CHN,37
38589,sunrise resources plc,CHN,23
38602,super retail group ltd,USA,17
38608,surge battery metals inc,USA,425
38619,sustainable development acquisition i corp,IND,79
38632,suzuki motor corporation,IND,161
38639,synex international inc.,CAN,10
38660,syrah resources limited,USA,40
38668,talga group ltd,AUS,89
38681,talon metals corp,AUS,18
38693,tarachi gold corp,CAN,139
38696,targa exploration corp.,CAN,182
38701,taruga gold ltd,AUS,10
38716,tata motors limited adr,IND,204
38728,tearlach resources limited,USA,137
38735,technipfmc plc,CHN,229
38749,technology general corporation,CHN,118
38756,technology metals australia ltd,AUS,139
38767,technology minerals plc,IRL,21
38775,telescope innovations corp.,USA,29
38780,telstra corporation limited,AUS,37
38784,tempest minerals ltd.,NZL,17
38789,tennessee valley authority pref,USA,11
38802,terns pharmaceuticals inc,MLI,34
38807,tesla inc,AUS,861
38838,tetra technologies inc,USA,34
38843,texas capital bancshares inc,USA,15
38847,texas rare earth resources corp,USA,29
38854,the amacore group inc,CHL,66
38864,thermo fisher scientific inc,USA,28
38867,thomson resources ltd,USA,115
38896,thomson reuters corp,USA,296
38903,thor explorations ltd,NGA,70
38908,thor mining plc,AUS,130
38934,tianqi lithium h yc 1,AUS,513
38966,tibet mineral development co ltd,CHN,73
38969,tibet summit resources co ltd,CHN,10
38975,tingyi (cayman islands) holding corp,BOL,12
38978,tinone resources inc.,AUS,49
38986,tisdale clean energy corp.,AUS,42
39009,tmb bank pcl adr,USA,19
39010,tnr gold corp,ARG,27
39022,tokyo gas co.ltd,JPN,44
39023,tomagold corporation,CAN,23
39024,tomra systems asa,AUS,17
39028,tongwei co ltd,CHN,34
39031,toray industries inc,JPN,13
39036,toronto dominion bank,USA,20
39047,toshiba corporation,IND,349
39067,toyota motor corporation adr,ARG,1290
39121,toyota tsusho corporation,ARG,471
39137,transurban group,AUS,11
39146,trilogy metals inc,CZE,48
39154,triton minerals limited,CAN,26
39164,triumph bancorp inc,IND,11
39170,troilus gold corp,BRA,16
39177,tronics microsystems sa,USA,45
39183,trust stamp inc,USA,56
39185,tsingtao brewery company limited,CHN,38
39214,ube industries ltd,CHN,98
39226,ubs ag london branch,CHN,80
39236,ultra resources inc,ARG,23
39250,union pacific corporation,USA,25
39251,union steel holdings limited,USA,15
39278,united airlines holdings inc,USA,60
39282,united energy group limited,USA,12
39297,united lithium corp,SWE,259
39300,united overseas bank limited,CHN,22
39313,united states steel corporation,USA,70
39318,universal music group n.v,AUS,67
39338,us critical metals corp.,USA,16
39339,us energy corp,USA,12
39353,usha resources ltd,USA,175
39355,valmet oyj,FIN,19
39357,varroc engineering ltd,IND,10
39361,vatic ventures corp.,COD,44
39368,venator materials plc,SWE,56
39369,venture minerals limited,AUS,54
39374,venus metals,AUS,203
39396,veolia environnement s.a,USA,127
39397,veritas pharma inc,ARG,30
39404,vicinity motor corp,CAN,20
39408,victory resources corporation,USA,376
39409,vietnam airlines jsc,VNM,10
39410,virgin galactic holdings inc,AUS,10
39412,virgin group acquisition corp ii,CAN,27
39426,vision lithium inc,CAN,45
39428,vistra energy corp,USA,13
39436,vmware inc,IND,32
39448,volkswagen ag,CHL,418
39533,volvo car ab (publ.),SWE,155
39550,vulcan energy resources limited,DEU,390
39579,vulcan materials company,USA,17
39588,walkabout resources ltd,NAM,33
39610,walmart inc,USA,93
39616,warner bros discovery inc,USA,70
39633,washington post -b-,USA,191
39634,waterloo brewing ltd,AUS,29
39643,wealth minerals ltd,CHL,583
39664,welspun specialty solutions limited,IND,16
39669,wesfarmers limited,AUS,105
39687,western digital corporation,USA,10
39691,western mining co ltd,CHN,52
39703,westinghouse air brake technologies corp,USA,33
39707,westpac banking corporation,AUS,129
39728,wheaton precious metals corp,CAN,29
39736,white cliff minerals ltd,AUS,184
39745,white metal resources corp,CAN,30
39748,whitehaven coal limited,AUS,13
39752,winnebago industries inc,USA,17
39756,winsome resources limited,CAN,35
39761,wistron information technology & services,USA,17
39770,wolfden resources corporation,USA,271
39774,woodside petroleum ltd,AUS,18
39793,wright investors service holdings inc,IND,65
39801,xantippe resources ltd,AUS,60
39809,xcel energy inc,USA,17
39812,xeros technology group plc,GBR,14
39825,xiaomi corp,CHN,64
39839,xinhua winshare publishing and media co. ltd,CHN,301
39877,xpeng inc,CHN,26
39879,xtierra inc,CAN,67
39907,yahoo japan,USA,50
39928,yamaha motor co. ltd,USA,10
39930,yamana gold inc,ARG,260
39941,yelp inc,USA,16
39960,youngevity international inc,USA,225
39964,youngy co ltd,CHN,67
39971,yuzhou group holdings company limited,CHN,17
39975,zenith capital corp,USA,34
39976,zenith energy ltd,AUS,53
39978,zenith minerals limited,AUS,217
39989,zentek ltd.,USA,11
39990,zeons corporation,CHN,18
39996,zeus resources ltd,AUS,11
40013,zhejiang huayou cobalt co ltd,ZWE,104
40017,zhejiang yongtai technology co ltd,CHN,17
40023,zhengzhou yutong bus co ltd,AUS,28
40038,zijin mining group co ltd-h,CHN,341
40061,zimtu capital corp,CAN,89
40071,zinnwald lithium plc,DEU,76
40083,znergy inc,CAN,24
