,dates,DocumentIdentifier
1448,2017-03-30 13:45:00,http://www.military-technologies.net/2017/03/30/the-role-of-cobalt-in-the-lithium-battery-market-2/
1674,2017-05-24 21:45:00,http://www.coolsocial.net/sites/www/evlithiumbattery.com.html
1675,2017-05-26 12:45:00,http://www.einnews.com/pr_news/383318515/global-power-lithium-battery-market-2017-research-review-market-dynamics-key-players-segmentation-forecast-2022
1676,2017-05-26 12:45:00,http://energy.einnews.com/pr_news/383318515/global-power-lithium-battery-market-2017-research-review-market-dynamics-key-players-segmentation-forecast-2022
1690,2017-05-31 13:45:00,http://www.prnewswire.com/news-releases/the-importance-of-cobalt-in-the-lithium-battery-market-625486594.html
1708,2017-06-09 14:00:00,http://www.orlandosentinel.com/travel/news/ct-us-laptop-ban-lithium-battery-fires-20170609-story.html
1771,2017-08-01 16:30:00,http://www.maltatoday.com.mt/business/technology/79406/codename_malta_google_owner_alphabets_secret_lithium_battery_project
1797,2017-08-21 19:15:00,https://cleantechnica.com/2017/08/21/toyota-still-banks-lithium-air-energy-storage-next-gen-ev-batteries/
1830,2017-09-07 10:30:00,https://www.bloomberg.com/graphics/2017-lithium-battery-future/
1836,2017-09-10 19:45:00,https://www.techspot.com/news/70920-weekend-tech-ios-11-leak-firefox-57-omnibar-fire-free-lithium-battery.html
1864,2017-09-19 17:45:00,https://www.energy-storage.news/news/little-known-us-company-fernhill-files-capacitor-lithium-hybrid-system-pate
1871,2017-09-21 12:15:00,http://www.proactiveinvestors.co.uk/companies/news/184370/johnson-matthey-s-electric-dreams-to-invest-200mln-in-electric-vehicle-lithium-battery-business-expansion-184370.html
1897,2017-09-29 14:00:00,https://www.wsj.com/articles/boeing-faa-spar-over-lithium-battery-safety-tests-1506686400
1910,2017-10-04 22:30:00,http://www.prnewswire.com/news-releases/global-and-china-lithium-battery-separator-industry-report-2017-300530896.html
1913,2017-10-05 02:00:00,http://www.binghamtonhomepage.com:80/news/local-news/lithium-battery-plant-to-bring-over-200-jobs-to-endicott/825617520
1949,2017-10-19 18:15:00,https://www.prnewswire.com/news-releases/world-demand-for-lithium-growing-rapidly-as-energy-storage-needs-skyrocket-651593093.html
