"Date","Price","Open","High","Low","Vol.","Change %"
"07/26/2017","206.30","204.07","207.10","202.47","","0.39%"
"07/25/2017","205.50","200.87","205.65","200.47","","2.34%"
"07/24/2017","200.80","196.70","200.80","196.65","","2.71%"
"07/21/2017","195.50","195.96","198.94","194.98","","0.27%"
"07/20/2017","194.98","198.53","199.04","194.41","","-1.61%"
"07/19/2017","198.17","198.98","200.85","198.01","","-1.33%"
"07/18/2017","200.85","198.41","200.85","196.41","","1.88%"
"07/17/2017","197.14","196.45","199.83","196.45","","0.24%"
"07/14/2017","196.66","188.72","196.66","188.62","","3.98%"
"07/13/2017","189.13","190.05","190.57","188.15","","0.05%"
"07/12/2017","189.03","188.45","190.72","187.50","","0.82%"
"07/11/2017","187.49","184.44","188.65","184.33","","1.43%"
"07/10/2017","184.84","184.74","185.56","182.22","","0.88%"
"07/07/2017","183.22","186.11","186.45","183.12","","-1.73%"
"07/06/2017","186.45","187.65","188.21","186.45","","-0.94%"
"07/05/2017","188.21","188.83","189.08","186.37","","-2.46%"
"07/03/2017","192.96","194.01","194.01","191.12","","-0.03%"
"06/30/2017","193.01","190.03","193.01","190.03","","1.06%"
"06/29/2017","190.98","191.26","192.49","190.39","","0.20%"
"06/28/2017","190.59","189.15","191.02","188.58","","0.11%"
"06/27/2017","190.38","186.01","190.38","185.50","","2.63%"
"06/26/2017","185.50","187.39","188.11","185.23","","-0.63%"
"06/23/2017","186.68","186.04","189.74","185.44","","0.67%"
"06/22/2017","185.44","184.65","186.87","183.05","","0.18%"
"06/21/2017","185.10","182.43","185.36","181.30","","2.10%"
"06/20/2017","181.30","185.30","186.74","181.30","","-2.10%"
"06/19/2017","185.19","182.42","187.45","182.42","","0.77%"
"06/16/2017","183.77","183.84","184.79","181.93","","1.01%"
"06/15/2017","181.93","183.12","184.35","181.93","","-1.04%"
"06/14/2017","183.85","180.55","183.85","180.29","","1.63%"
"06/13/2017","180.90","181.16","181.54","178.54","","0.04%"
"06/12/2017","180.82","184.32","185.92","180.48","","-2.09%"
"06/09/2017","184.68","181.70","184.79","180.95","","1.88%"
"06/08/2017","181.28","181.19","183.20","180.93","","0.03%"
"06/07/2017","181.23","184.02","184.39","181.12","","-0.65%"
"06/06/2017","182.41","182.83","185.21","182.06","","-0.51%"
"06/05/2017","183.34","182.21","184.07","182.00","","-0.08%"
"06/02/2017","183.49","180.90","183.54","179.10","","0.86%"
"06/01/2017","181.92","183.53","184.62","181.36","","-1.46%"
"05/31/2017","184.62","187.60","187.60","181.57","","-1.57%"
"05/30/2017","187.57","187.03","188.83","185.94","","0.36%"
"05/26/2017","186.90","186.75","187.51","185.66","","0.44%"
"05/25/2017","186.08","188.24","189.17","186.08","","-0.66%"
"05/24/2017","187.31","191.69","192.37","186.95","","-2.63%"
"05/23/2017","192.37","193.49","194.01","190.91","","-0.56%"
"05/22/2017","193.45","193.80","194.52","192.46","","0.34%"
"05/19/2017","192.79","187.96","194.30","187.75","","2.05%"
"05/18/2017","188.91","186.30","189.73","185.22","","-0.43%"
"05/17/2017","189.73","189.18","190.83","187.75","","1.05%"
"05/16/2017","187.75","189.02","190.14","186.30","","-1.25%"
"05/15/2017","190.13","192.59","193.14","189.24","","-0.90%"
"05/12/2017","191.85","190.71","193.42","190.55","","-0.01%"
"05/11/2017","191.86","188.28","193.23","187.84","","2.15%"
"05/10/2017","187.83","189.77","190.68","186.89","","-1.04%"
"05/09/2017","189.81","187.75","191.98","187.69","","0.74%"
"05/08/2017","188.41","185.74","189.14","185.48","","0.05%"
"05/05/2017","188.32","185.21","188.94","183.48","","1.41%"
"05/04/2017","185.71","190.57","190.67","184.88","","-2.32%"
"05/03/2017","190.13","195.41","196.03","189.79","","-3.00%"
"05/02/2017","196.02","197.05","197.10","194.77","","0.64%"
"05/01/2017","194.77","194.77","194.77","194.77","","0.01%"
"04/28/2017","194.76","193.94","197.72","192.38","","1.24%"
"04/27/2017","192.38","190.07","192.38","189.50","","1.15%"
"04/26/2017","190.20","192.13","192.70","190.20","","-0.97%"
"04/25/2017","192.06","191.81","192.54","190.19","","0.64%"
"04/24/2017","190.83","192.48","193.61","190.53","","-0.93%"
"04/21/2017","192.62","195.40","197.10","192.62","","-1.43%"
"04/20/2017","195.42","193.44","196.97","192.36","","1.51%"
"04/19/2017","192.51","194.88","196.43","191.99","","0.33%"
"04/18/2017","191.87","200.18","201.02","191.87","","-4.55%"
"04/17/2017","201.01","201.01","201.01","201.01","","0.01%"
"04/13/2017","200.99","201.41","202.95","199.85","","0.14%"
"04/12/2017","200.70","203.92","204.08","200.33","","-1.07%"
"04/11/2017","202.88","208.39","210.10","201.35","","-3.36%"
"04/10/2017","209.94","209.91","210.54","207.60","","-0.02%"
"04/07/2017","209.99","209.38","210.72","205.08","","0.99%"
"04/06/2017","207.94","212.01","213.98","207.51","","-2.09%"
"04/05/2017","212.37","209.42","212.79","205.85","","3.17%"
"04/04/2017","205.84","203.10","205.87","201.24","","1.31%"
"04/03/2017","203.18","205.83","207.91","203.15","","-1.77%"
"03/31/2017","206.85","207.17","208.78","204.12","","-1.09%"
"03/30/2017","209.12","205.62","209.33","205.10","","0.90%"
"03/29/2017","207.25","206.24","208.20","202.55","","0.49%"
"03/28/2017","206.24","204.06","206.24","201.37","","2.30%"
"03/27/2017","201.60","200.22","203.73","200.11","","-1.04%"
"03/24/2017","203.72","205.85","207.04","202.85","","-1.60%"
"03/23/2017","207.03","208.69","208.79","205.59","","0.10%"
"03/22/2017","206.82","206.10","209.73","204.75","","-1.38%"
"03/21/2017","209.72","209.46","211.37","208.78","","-0.05%"
"03/20/2017","209.83","212.04","212.09","208.42","","-0.93%"
"03/17/2017","211.81","211.56","212.53","209.42","","0.40%"
"03/16/2017","210.97","212.43","213.47","209.93","","0.14%"
"03/15/2017","210.67","211.10","213.37","210.28","","-0.25%"
"03/14/2017","211.20","209.99","212.58","207.61","","0.58%"
"03/13/2017","209.99","207.67","212.33","204.36","","2.76%"
"03/10/2017","204.35","209.32","210.25","203.64","","-2.52%"
"03/09/2017","209.63","209.70","211.35","207.63","","-0.52%"
"03/08/2017","210.73","219.85","220.89","210.21","","-4.19%"
"03/07/2017","219.95","227.20","229.27","219.64","","-4.06%"
"03/06/2017","229.26","228.59","229.26","226.11","","0.94%"
"03/03/2017","227.13","224.34","227.13","222.79","","1.95%"
"03/02/2017","222.78","226.94","227.98","222.63","","-2.28%"
"03/01/2017","227.97","227.59","229.63","226.04","","0.44%"
"02/28/2017","226.97","226.47","228.33","222.65","","-0.60%"
"02/27/2017","228.33","226.88","228.33","224.50","","1.71%"
"02/24/2017","224.50","219.74","225.50","218.71","","2.65%"
"02/23/2017","218.70","222.42","223.46","217.86","","-2.13%"
"02/22/2017","223.45","224.41","224.82","221.82","","-0.42%"
"02/21/2017","224.40","229.60","230.53","224.19","","-1.78%"
"02/17/2017","228.46","227.43","228.85","224.43","","-0.17%"
"02/16/2017","228.85","226.82","228.85","224.54","","1.26%"
"02/15/2017","225.99","223.10","225.99","221.13","","1.49%"
"02/14/2017","222.68","221.99","225.27","220.23","","0.36%"
"02/13/2017","221.88","221.22","223.06","220.08","","0.64%"
"02/10/2017","220.48","213.65","220.58","212.62","","3.70%"
"02/09/2017","212.62","216.66","217.08","212.51","","-2.05%"
"02/08/2017","217.08","214.79","217.80","214.17","","1.36%"
"02/07/2017","214.17","214.33","216.20","212.88","","-0.94%"
"02/06/2017","216.20","214.15","216.23","211.56","","2.20%"
"02/03/2017","211.55","208.00","215.06","207.38","","-1.63%"
"02/02/2017","215.05","211.51","217.01","210.89","","1.43%"
"02/01/2017","212.03","206.89","212.03","205.95","","2.95%"
"01/31/2017","205.95","201.26","208.12","200.23","","2.86%"
"01/30/2017","200.22","197.13","201.16","195.99","","2.16%"
"01/27/2017","195.98","194.34","197.15","193.83","","0.68%"
"01/26/2017","194.65","202.75","204.21","193.83","","-3.00%"
"01/25/2017","200.68","202.14","203.18","197.77","","-1.03%"
"01/24/2017","202.76","203.51","204.14","200.92","","0.92%"
"01/23/2017","200.92","204.74","205.77","200.92","","0.07%"
"01/20/2017","200.79","206.18","206.70","200.79","","-2.27%"
"01/19/2017","205.45","211.38","211.69","204.82","","-2.47%"
"01/18/2017","210.65","210.86","212.42","209.93","","0.15%"
"01/17/2017","210.34","211.80","213.98","208.90","","-2.80%"
"01/13/2017","216.40","212.17","216.50","208.23","","1.70%"
"01/12/2017","212.79","210.83","214.09","200.13","","0.93%"
"01/11/2017","210.83","217.78","219.85","210.83","","-4.10%"
"01/10/2017","219.85","214.66","219.95","214.66","","2.17%"
"01/09/2017","215.18","214.29","215.38","212.21","","1.40%"
"01/06/2017","212.20","212.32","213.56","210.35","","-0.49%"
"01/05/2017","213.25","211.60","214.90","210.98","","0.73%"
"01/04/2017","211.70","205.28","211.91","205.28","","3.13%"
"01/03/2017","205.28","211.53","212.67","205.28","","-1.11%"
"12/30/2016","207.58","210.60","210.71","207.58","","-1.00%"
"12/29/2016","209.67","210.71","211.44","207.89","","0.19%"
"12/28/2016","209.26","212.86","215.76","209.26","","-3.01%"
"12/27/2016","215.76","215.76","215.76","215.76","","0.01%"
"12/23/2016","215.74","221.63","222.51","215.74","","-2.99%"
"12/22/2016","222.40","224.99","224.99","219.08","","-0.92%"
"12/21/2016","224.47","227.17","228.10","224.47","","-0.87%"
"12/20/2016","226.44","226.66","228.22","225.52","","0.41%"
"12/19/2016","225.52","232.00","232.72","221.47","","-2.61%"
"12/16/2016","231.57","231.57","231.57","231.57","","-1.14%"
"12/15/2016","234.25","237.47","237.98","233.01","","-1.05%"
"12/14/2016","236.75","237.57","238.81","234.25","","0.27%"
"12/13/2016","236.11","235.60","238.82","232.80","","0.79%"
"12/12/2016","234.25","239.97","240.80","233.44","","-1.49%"
"12/09/2016","237.78","234.18","238.02","230.23","","3.28%"
"12/08/2016","230.23","237.52","238.35","229.98","","-2.68%"
"12/07/2016","236.58","243.07","243.17","236.58","","-1.74%"
"12/06/2016","240.78","240.48","242.97","239.02","","-0.26%"
"12/05/2016","241.41","239.68","243.84","239.06","","1.61%"
"12/02/2016","237.59","232.07","239.54","229.88","","2.20%"
"12/01/2016","232.48","231.36","234.69","231.26","","-0.37%"
"11/30/2016","233.33","229.79","233.33","225.95","","1.54%"
"11/29/2016","229.79","238.47","238.68","228.18","","-4.76%"
"11/28/2016","241.27","243.07","246.91","240.63","","0.60%"
"11/25/2016","239.84","238.98","241.42","237.26","","-0.36%"
"11/23/2016","240.71","235.95","241.45","234.08","","2.02%"
"11/22/2016","235.94","237.20","239.69","235.23","","-0.27%"
"11/21/2016","236.57","231.02","236.57","230.40","","5.10%"
"11/18/2016","225.09","230.81","232.89","225.09","","-3.56%"
"11/17/2016","233.40","233.97","235.06","232.57","","-0.75%"
"11/16/2016","235.16","234.64","237.35","231.94","","0.31%"
"11/15/2016","234.43","236.81","237.12","229.51","","0.32%"
"11/14/2016","233.69","237.04","237.19","230.08","","0.44%"
"11/11/2016","232.67","240.89","252.00","229.36","","-2.87%"
"11/10/2016","239.54","244.04","246.85","238.95","","-0.32%"
"11/09/2016","240.30","231.60","242.07","224.86","","2.78%"
