,dates,DocumentIdentifier
2545,2018-03-28 00:30:00,https://community.oilprice.com/topic/1291-wood-mac-joins-lithium-cobalt-bears/
2569,2018-04-05 20:45:00,https://www.gfmag.com/magazine/april-2018/chile-challenges-chinas-control-lithium-production
2606,2018-04-19 13:30:00,https://www.prnewswire.com/news-releases/lithium-and-cobalt-markets-benefit-from-accelerated-electric-vehicle-production-680243733.html
2611,2018-04-19 18:00:00,https://www.etftrends.com/looking-at-the-lithium-etf-again/
2665,2018-05-02 03:30:00,http://www.proactiveinvestors.com.au/companies/news/196192/argosy-minerals-fast-tracks-rincon-lithium-project-to-take-advantage-of-lithium-carbonate-pricing-196192.html
2668,2018-05-02 13:15:00,https://www.prnewswire.com/news-releases/as-global-demand-for-lithium-ion-batteries-show-no-signs-of-slowing---cobalt-mining-operations-pick-up-steam-681488001.html
2669,2018-05-02 13:15:00,https://www.marketwatch.com/story/as-global-demand-for-lithium-ion-batteries-show-no-signs-of-slowing---cobalt-mining-operations-pick-up-steam-2018-05-02
2670,2018-05-02 13:15:00,https://www.finanznachrichten.de/nachrichten-2018-05/43693639-as-global-demand-for-lithium-ion-batteries-show-no-signs-of-slowing-cobalt-mining-operations-pick-up-steam-008.htm
2700,2018-05-10 02:00:00,http://www.proactiveinvestors.com.au/companies/news/196692/piedmont-lithium-sampling-returns-high-grade-lithium-at-new-property-in-carolina-tin-spodumene-belt-196692.html
2705,2018-05-11 11:30:00,http://spendmatters.com/2018/05/11/commodities-roundup-developing-european-lithium-cobalt-supply-chains-under-the-microscope/
2716,2018-05-16 07:00:00,https://www.fnarena.com/index.php/2018/05/16/material-matters-crude-cobalt-lithium/
2723,2018-05-17 00:00:00,https://www.reuters.com/article/us-kidman-resources-tesla/australias-kidman-resources-to-supply-lithium-hydroxide-to-tesla-inc-idUSKCN1IH381
2724,2018-05-17 00:00:00,http://www.mining.com/web/australias-kidman-resources-supply-lithium-hydroxide-tesla-inc/
2725,2018-05-17 00:15:00,http://www.sharenet.co.za/news/Australias_Kidman_Resources_to_supply_lithium_hydroxide_to_Tesla/cca61ddb186012408d1f5bd582d88ba3
2726,2018-05-17 00:30:00,https://www.reuters.com/article/kidman-resources-tesla/update-1-australias-kidman-resources-to-supply-lithium-hydroxide-to-tesla-idUSL3N1SN6KC
