Date,LiOH 56.5%
2009-08-26,40500
2009-08-27,40500
2009-08-28,40500
2009-08-31,40500
2009-09-01,40500
2009-09-02,40500
2009-09-04,40500
2009-09-07,40500
2009-09-08,40500
2009-09-09,40500
2009-09-10,40500
2009-09-11,40500
2009-09-14,40500
2009-09-15,40500
2009-09-16,40500
2009-09-17,40500
2009-09-18,40500
2009-09-21,40500
2009-09-22,40500
2009-09-23,40500
2009-09-24,40500
2009-09-25,40500
2009-09-28,40500
2009-09-29,40500
2009-09-30,40500
2009-10-09,40500
2009-10-12,40500
2009-10-13,40500
2009-10-14,40500
2009-10-15,40500
2009-10-16,40500
2009-10-19,40500
2009-10-20,40500
2009-10-21,40500
2009-10-22,40500
2009-10-23,40500
2009-10-26,40500
2009-10-27,40500
2009-10-28,40500
2009-10-29,40500
2009-10-30,40500
2009-11-02,40500
2009-11-03,40500
2009-11-04,40500
2009-11-05,40500
2009-11-06,40500
2009-11-09,40500
2009-11-10,40500
2009-11-11,40500
2009-11-12,40500
2009-11-13,40500
2009-11-16,40500
2009-11-17,40500
2009-11-18,40500
2009-11-19,40500
2009-11-20,40500
2009-11-23,40500
2009-11-24,40500
2009-11-25,40500
2009-11-26,40500
2009-11-27,40500
2009-11-30,40500
2009-12-01,40500
2009-12-02,40500
2009-12-03,40500
2009-12-04,40500
2009-12-07,40500
2009-12-08,40500
2009-12-09,40500
2009-12-10,40500
2009-12-11,40500
2009-12-14,40500
2009-12-15,40500
2009-12-16,40500
2009-12-17,40500
2009-12-18,40500
2009-12-21,40500
2009-12-22,40500
2009-12-23,40500
2009-12-24,40500
2009-12-25,40500
2009-12-28,40500
2009-12-29,40500
2009-12-30,40500
2009-12-31,40500
2010-01-04,40500
2010-01-05,40500
2010-01-06,40500
2010-01-07,40500
2010-01-08,40500
2010-01-11,40500
2010-01-12,40500
2010-01-13,40500
2010-01-14,40500
2010-01-15,40500
2010-01-18,40500
2010-01-19,40500
2010-01-20,40500
2010-01-21,40500
2010-01-22,40500
2010-01-25,40500
2010-01-26,40500
2010-01-27,40500
2010-01-28,40500
2010-01-29,40500
2010-02-01,40500
2010-02-02,40500
2010-02-03,40500
2010-02-04,40500
2010-02-05,40500
2010-02-08,40500
2010-02-09,40500
2010-02-10,40500
2010-02-11,40500
2010-02-12,40500
2010-02-22,40500
2010-02-23,40500
2010-02-24,40500
2010-02-25,40500
2010-02-26,40500
2010-03-01,40500
2010-03-02,40500
2010-03-03,40500
2010-03-04,40500
2010-03-05,40500
2010-03-08,40500
2010-03-09,40500
2010-03-10,40500
2010-03-11,40500
2010-03-12,40500
2010-03-15,40500
2010-03-16,40500
2010-03-17,40500
2010-03-18,40500
2010-03-19,40500
2010-03-22,40500
2010-03-23,40500
2010-03-24,40500
2010-03-25,40500
2010-03-26,40500
2010-03-29,40500
2010-03-30,40500
2010-03-31,40500
2010-04-01,40500
2010-04-02,40500
2010-04-06,40500
2010-04-07,40500
2010-04-09,40500
2010-04-12,40500
2010-04-13,40500
2010-04-14,40500
2010-04-15,40500
2010-04-16,40500
2010-04-19,40500
2010-04-20,40500
2010-04-22,40500
2010-04-23,40500
2010-04-26,40500
2010-04-27,40500
2010-04-28,40500
2010-04-29,40500
2010-04-30,40500
2010-05-04,40500
2010-05-05,40500
2010-05-06,40500
2010-05-07,40500
2010-05-10,40500
2010-05-11,40500
2010-05-12,40500
2010-05-13,40500
2010-05-14,40500
2010-05-17,40500
2010-05-18,40500
2010-05-19,40500
2010-05-20,40500
2010-05-21,40500
2010-05-24,40500
2010-05-25,40500
2010-05-26,40500
2010-05-27,40500
2010-05-28,40500
2010-05-31,40500
2010-06-01,40500
2010-06-02,40500
2010-06-03,40500
2010-06-04,40500
2010-06-07,40500
2010-06-08,40500
2010-06-09,40500
2010-06-10,40500
2010-06-11,40500
2010-06-17,40500
2010-06-18,40500
2010-06-21,40500
2010-06-22,40500
2010-06-23,40500
2010-06-24,40500
2010-06-25,40500
2010-06-28,40500
2010-06-29,40500
2010-06-30,40500
2010-07-01,40500
2010-07-02,40500
2010-07-05,40500
2010-07-06,40500
2010-07-07,40500
2010-07-08,40500
2010-07-09,40500
2010-07-12,40500
2010-07-13,40500
2010-07-14,40500
2010-07-15,40500
2010-07-16,40500
2010-07-19,40500
2010-07-20,40500
2010-07-21,39000
2010-07-22,39000
2010-07-23,39000
2010-07-26,39000
2010-07-27,39000
2010-07-28,39000
2010-07-29,39000
2010-07-30,39000
2010-08-02,39000
2010-08-03,39000
2010-08-04,39000
2010-08-05,39000
2010-08-06,39000
2010-08-09,39000
2010-08-10,39000
2010-08-11,39000
2010-08-12,39000
2010-08-13,39000
2010-08-16,38000
2010-08-17,38000
2010-08-18,38000
2010-08-19,38000
2010-08-20,38000
2010-08-23,38000
2010-08-24,38000
2010-08-25,38000
2010-08-26,38000
2010-08-27,38000
2010-08-30,38000
2010-08-31,38000
2010-09-01,38000
2010-09-02,38000
2010-09-03,38000
2010-09-06,38000
2010-09-07,38000
2010-09-08,39000
2010-09-09,39000
2010-09-10,39000
2010-09-13,39000
2010-09-14,39000
2010-09-15,39000
2010-09-16,39000
2010-09-17,39000
2010-09-20,39000
2010-09-21,39000
2010-09-27,39000
2010-09-28,39000
2010-09-29,39000
2010-09-30,39000
2010-10-08,39000
2010-10-11,39000
2010-10-12,39000
2010-10-13,39000
2010-10-14,39000
2010-10-15,39000
2010-10-18,39000
2010-10-19,39000
2010-10-20,39000
2010-10-21,39000
2010-10-22,39000
2010-10-25,39000
2010-10-26,39000
2010-10-27,39000
2010-10-28,39000
2010-10-29,39000
2010-11-01,39000
2010-11-02,39000
2010-11-03,39000
2010-11-04,39000
2010-11-05,39000
2010-11-08,39000
2010-11-09,39000
2010-11-10,39000
2010-11-11,39000
2010-11-12,39000
2010-11-15,39000
2010-11-16,39000
2010-11-17,39000
2010-11-18,39000
2010-11-19,39000
2010-11-22,39000
2010-11-23,39000
2010-11-24,39000
2010-11-25,39000
2010-11-26,39000
2010-11-29,39000
2010-11-30,39000
2010-12-01,39000
2010-12-02,39000
2010-12-03,39000
2010-12-06,39000
2010-12-07,39000
2010-12-08,39000
2010-12-09,39000
2010-12-10,39000
2010-12-13,39000
2010-12-14,39000
2010-12-15,39000
2010-12-16,39000
2010-12-17,39000
2010-12-20,39000
2010-12-21,39000
2010-12-22,39000
2010-12-23,39000
2010-12-24,39000
2010-12-27,39000
2010-12-28,39000
2010-12-29,39000
2010-12-30,39000
2010-12-31,39000
2011-01-04,39000
2011-01-05,39000
2011-01-06,39000
2011-01-07,39000
2011-01-10,39000
2011-01-11,39000
2011-01-12,39000
2011-01-13,39000
2011-01-14,39000
2011-01-17,39000
2011-01-18,39000
2011-01-19,39000
2011-01-20,39000
2011-01-21,39000
2011-01-24,39000
2011-01-25,39000
2011-01-26,39000
2011-01-27,39000
2011-01-28,39000
2011-01-31,39000
2011-02-01,39000
2011-02-09,39000
2011-02-10,39000
2011-02-11,39000
2011-02-14,39000
2011-02-15,39000
2011-02-16,39000
2011-02-17,39000
2011-02-18,39000
2011-02-21,39000
2011-02-22,39000
2011-02-23,39000
2011-02-24,39000
2011-02-25,39000
2011-02-28,39000
2011-03-01,39000
2011-03-02,39000
2011-03-03,39000
2011-03-04,39000
2011-03-07,39000
2011-03-08,39000
2011-03-09,39000
2011-03-10,39000
2011-03-11,39000
2011-03-14,39000
2011-03-15,39000
2011-03-16,39000
2011-03-17,39000
2011-03-18,39000
2011-03-21,39000
2011-03-22,39000
2011-03-23,39000
2011-03-24,39000
2011-03-25,39000
2011-03-28,39000
2011-03-29,39000
2011-03-30,39000
2011-03-31,39000
2011-04-01,39000
2011-04-06,39000
2011-04-07,39000
2011-04-08,39000
2011-04-11,39000
2011-04-12,39000
2011-04-13,39000
