Date,Open_PCRFY.US,High_PCRFY.US,Low_PCRFY.US,Close_PCRFY.US,Adjusted_close_PCRFY.US,Volume_PCRFY.US,Open_051910.KO,High_051910.KO,Low_051910.KO,Close_051910.KO,Adjusted_close_051910.KO,Volume_051910.KO,Open_006400.KO,High_006400.KO,Low_006400.KO,Close_006400.KO,Adjusted_close_006400.KO,Volume_006400.KO,Open_1211.HK,High_1211.HK,Low_1211.HK,Close_1211.HK,Adjusted_close_1211.HK,Volume_1211.HK,Open_300014.SHE,High_300014.SHE,Low_300014.SHE,Close_300014.SHE,Adjusted_close_300014.SHE,Volume_300014.SHE,Open_MRAAF.US,High_MRAAF.US,Low_MRAAF.US,Close_MRAAF.US,Adjusted_close_MRAAF.US,Volume_MRAAF.US
2009-12-09,14.04,14.1275,13.94,14.1,10.1549,637380.0,224500.0,228000.0,221000.0,228000.0,194649.0471,548154.0,138500.0,141500.0,138000.0,141000.0,128498.7429,504977.0,70.66,70.66,70.66,70.66,68.6004,0.0,12.1222,12.8314,12.0088,12.2172,2.5239,70297966.0,,,,,,
2009-12-10,14.02,14.08,13.91,13.94,10.0401,149417.0,228000.0,229500.0,223000.0,228000.0,194649.0471,608186.0,141000.0,141000.0,137000.0,140500.0,128043.0736,652085.0,70.2,71.6,67.3,68.75,66.746,6802920.0,12.2566,12.4542,11.8374,11.914,2.4613,41331718.0,,,,,,
2009-12-11,14.29,14.39,14.25,14.3,10.2992,617833.0,227500.0,234500.0,226500.0,234000.0,199771.3904,620208.0,140000.0,143500.0,139500.0,141000.0,128498.7429,522868.0,69.0,70.2,66.8,68.15,66.1635,5773937.0,11.9376,12.0774,11.2206,11.4948,2.3747,41308636.0,,,,,,
2009-12-14,14.52,14.59,14.44,14.52,10.458,152296.0,236500.0,236500.0,231000.0,236000.0,201478.8382,377189.0,142000.0,143500.0,140500.0,142500.0,129865.7508,307241.0,67.9,69.9,65.7,68.8,66.7946,4212288.0,11.334,11.5054,10.965,11.1628,2.3061,28691297.0,,,,,,
2009-12-15,14.35,14.38,14.29,14.36,10.3423,263790.0,234000.0,236500.0,232500.0,234500.0,200198.2524,309644.0,142500.0,144000.0,137500.0,141500.0,128954.4122,948215.0,69.16,69.16,69.16,69.16,67.1441,0.0,11.2102,11.4634,11.1496,11.176,2.3088,20032762.0,,,,,,
2009-12-16,14.62,14.68,14.42,14.49,10.4361,181999.0,230500.0,231500.0,222000.0,228500.0,195075.909,1051829.0,140000.0,141000.0,136500.0,138500.0,126220.3964,505243.0,70.95,70.95,67.7,69.8,67.7654,3238867.0,11.0706,11.1864,10.7278,10.7464,2.22,29779322.0,,,,,,
2009-12-17,14.33,14.41,14.2,14.25,10.2633,274785.0,225500.0,228000.0,223500.0,224000.0,191234.1515,320939.0,137500.0,139500.0,136000.0,136500.0,124397.7192,374229.0,70.0,70.0,66.1,66.55,64.6102,5217362.0,10.6752,10.8042,10.2798,10.2798,2.1237,27054803.0,,,,,,
2009-12-18,14.26,14.29,14.13,14.22,10.2417,221679.0,222000.0,225000.0,221500.0,223500.0,190807.2896,323464.0,134500.0,137500.0,133500.0,137500.0,125309.0578,318077.0,65.0,66.0,62.9,63.55,61.6976,7233192.0,10.2534,10.7542,9.9054,10.5118,2.1716,35677912.0,,,,,,
2009-12-21,14.45,14.45,14.17,14.21,10.2345,144729.0,223500.0,225000.0,218500.0,222500.0,189953.5657,368074.0,136500.0,137500.0,135500.0,135500.0,123486.3806,273917.0,62.95,65.6,62.95,65.0,63.1054,3701766.0,10.3668,10.6648,10.3086,10.5828,2.1863,17806194.0,,,,,,
2009-12-22,14.5,14.5,14.32,14.37,10.3499,144472.0,224000.0,224500.0,221000.0,222000.0,189526.7037,215847.0,136500.0,138000.0,136500.0,137000.0,124853.3885,224483.0,65.55,65.55,65.55,65.55,63.6393,0.0,10.591,10.617,10.0162,10.069,2.0801,17857821.0,,,,,,
